wl_ang,F13,F13+2.5*5F11,F13+5.0*5F11,F13+7.5*5F11,F13+10.0*5F11,F13+12.5*5F11,5F11
1521.0,231124896.0,232518688.0,233912480.0,235306272.0,236700048.0,238093840.0,558309.75
1610.0,255180944.0,256896160.0,258611376.0,260326576.0,262041792.0,263757008.0,687109.8125
1680.0,271737632.0,273755744.0,275773824.0,277791936.0,279810048.0,281828128.0,808522.1875
1682.0,272387520.0,274320704.0,276253888.0,278187072.0,280120256.0,282053440.0,774292.75
1800.0,295294016.0,297692512.0,300090976.0,302489472.0,304887936.0,307286432.0,960753.9375
2069.0,326512352.0,330258624.0,334004896.0,337751168.0,341497440.0,345243712.0,1501395.25
2071.0,326607520.0,330585376.0,334563232.0,338541056.0,342518912.0,346496768.0,1594020.5
2350.0,333918976.0,339770304.0,345621664.0,351472992.0,357324352.0,363175680.0,2345877.0
2513.0,329843136.0,337018112.0,344193088.0,351368064.0,358543040.0,365718016.0,2877278.0
2514.0,329619360.0,336769216.0,343919104.0,351068960.0,358218816.0,365368704.0,2909436.25
2519.0,329413472.0,336603360.0,343793280.0,350983168.0,358173056.0,365362976.0,2927816.5
2539.0,328554432.0,335903232.0,343252064.0,350600864.0,357949664.0,365298496.0,2992937.25
2671.0,321440160.0,329871936.0,338303744.0,346735520.0,355167328.0,363599104.0,3438128.0
2780.0,313992448.0,323355328.0,332718208.0,342081088.0,351443968.0,360806848.0,3822388.5
2830.0,310198208.0,319996960.0,329795744.0,339594496.0,349393248.0,359192000.0,4001523.25
2992.0,296668256.0,307904448.0,319140640.0,330376864.0,341613056.0,352849248.0,4593016.0
3080.0,288738976.0,300772480.0,312805952.0,324839456.0,336872928.0,348906432.0,4920052.0
3200.0,277491072.0,290600928.0,303710752.0,316820608.0,329930464.0,343040288.0,5364530.0
3300.0,267895408.0,281897376.0,295899360.0,309901312.0,323903296.0,337905248.0,5732978.0
3400.0,258209376.0,273091744.0,287974112.0,302856480.0,317738880.0,332621248.0,6097336.0
3500.0,248523280.0,264269920.0,280016544.0,295763200.0,311509824.0,327256448.0,6455565.0
3550.0,243700992.0,259870896.0,276040800.0,292210688.0,308380608.0,324550496.0,6632293.5
3615.0,237472416.0,254184064.0,270895712.0,287607360.0,304318976.0,321030624.0,6858701.0
3646.89990234375,234436352.0,251410064.0,268383776.0,285357504.0,302331200.0,319304928.0,6968315.0
3647.10009765625,197665424.0,199080288.0,200495152.0,201910032.0,203324896.0,204739760.0,723743.125
3870.0,177796384.0,179281248.0,180766128.0,182250992.0,183735872.0,185220736.0,795529.625
4000.0,167118672.0,168652272.0,170185872.0,171719456.0,173253056.0,174786656.0,831348.3125
4170.0,154118304.0,155706432.0,157294560.0,158882672.0,160470800.0,162058928.0,885037.25
4300.0,144889696.0,146517856.0,148146016.0,149774176.0,151402336.0,153030496.0,919128.125
4313.7919921875,143799296.0,145582112.0,147364928.0,149147744.0,150930560.0,152713376.0,990287.625
4327.99365234375,151740032.0,153965360.0,156190672.0,158416000.0,160641328.0,162866640.0,1165576.875
4334.5439453125,180133488.0,184973472.0,189813440.0,194653424.0,199493392.0,204333376.0,2211226.75
4337.5712890625,221252704.0,238145904.0,255039104.0,271932320.0,288825504.0,305718720.0,7035458.0
4338.9833984375,249817744.0,305623008.0,361428288.0,417233536.0,473038848.0,528844096.0,22613622.0
4339.65576171875,252800624.0,385241664.0,517682688.0,650123712.0,782564736.0,915005760.0,53322820.0
4339.990234375,236512496.0,449230912.0,661949312.0,874667712.0,1087386112.0,1300104448.0,85655544.0
4340.169921875,217402400.0,481967040.0,746531648.0,1011096320.0,1275660928.0,1540225408.0,107152400.0
4340.2783203125,206293552.0,495095872.0,783898176.0,1072700480.0,1361502720.0,1650305024.0,118564088.0
4340.35498046875,200703584.0,499960160.0,799216768.0,1098473216.0,1397729920.0,1696986368.0,124929512.0
4340.41650390625,198058640.0,501398336.0,804738048.0,1108077824.0,1411417472.0,1714757248.0,129219952.0
4340.4716796875,197222160.0,502347968.0,807473792.0,1112599680.0,1417725440.0,1722851328.0,132305656.0
4340.5234375,197746400.0,504302496.0,810858624.0,1117414656.0,1423970816.0,1730526976.0,134641984.0
4340.57373046875,199394432.0,507942592.0,816490752.0,1125038848.0,1433587072.0,1742135168.0,136423648.0
4340.6240234375,201969008.0,513016896.0,824064768.0,1135112576.0,1446160512.0,1757208448.0,137734640.0
4340.673828125,205264768.0,519217056.0,833169344.0,1147121664.0,1461073920.0,1775026176.0,138584896.0
4340.724609375,209146176.0,526494304.0,843842432.0,1161190656.0,1478538752.0,1795886848.0,138958112.0
4340.7763671875,213450368.0,534855840.0,856261312.0,1177666816.0,1499072256.0,1820477824.0,138816752.0
4340.83154296875,218092688.0,543498432.0,868904192.0,1194310016.0,1519715712.0,1845121408.0,138045712.0
4340.89306640625,223264800.0,551087424.0,878910080.0,1206732672.0,1534555264.0,1862377856.0,136355504.0
4340.9697265625,229302016.0,553955840.0,878609664.0,1203263488.0,1527917312.0,1852571264.0,132904392.0
4341.078125,236684848.0,546217920.0,855751040.0,1165284096.0,1474817152.0,1784350208.0,125139600.0
4341.2578125,245554224.0,509565376.0,773576512.0,1037587648.0,1301598720.0,1565609856.0,106172456.0
4341.59228515625,252207936.0,420763040.0,589318144.0,757873280.0,926428352.0,1094983424.0,67768200.0
4342.265625,246125168.0,311569216.0,377013280.0,442457344.0,507901408.0,573345472.0,26468722.0
4343.68115234375,218084768.0,236313008.0,254541248.0,272769504.0,290997728.0,309225984.0,7568702.5
4346.72119140625,178290832.0,183239648.0,188188464.0,193137280.0,198086096.0,203034912.0,2253226.0
4353.328125,149973312.0,152188944.0,154404576.0,156620192.0,158835824.0,161051456.0,1158504.0
4367.7919921875,140323696.0,142065296.0,143806880.0,145548480.0,147290080.0,149031664.0,966988.5625
4399.7099609375,137698432.0,139345792.0,140993136.0,142640496.0,144287856.0,145935216.0,925370.8125
4700.0,120059912.0,121788992.0,123518072.0,125247152.0,126976232.0,128705312.0,1014860.875
4828.91259765625,113318544.0,115220048.0,117121552.0,119023056.0,120924552.0,122826056.0,1110521.625
4845.4853515625,118183168.0,120456736.0,122730312.0,125003880.0,127277456.0,129551024.0,1257052.25
4853.490234375,134660720.0,138886336.0,143111952.0,147337584.0,151563200.0,155788816.0,2037259.0
4857.3603515625,159797200.0,172288784.0,184780384.0,197271968.0,209763552.0,222255136.0,5345565.5
4859.2431640625,179682368.0,218202448.0,256722528.0,295242592.0,333762688.0,372282752.0,15767321.0
4860.1728515625,183069632.0,274175200.0,365280768.0,456386304.0,547491840.0,638597440.0,36838388.0
4860.64501953125,164862848.0,323472768.0,482082656.0,640692608.0,799302464.0,957912384.0,63996004.0
4860.89794921875,137453584.0,345175232.0,552896832.0,760618496.0,968340096.0,1176061824.0,84350512.0
4861.04638671875,121949360.0,352026656.0,582103936.0,812181248.0,1042258560.0,1272335872.0,95125344.0
4861.14453125,114889976.0,348120192.0,581350400.0,814580608.0,1047810816.0,1281041024.0,99697704.0
4861.21826171875,111600336.0,342140800.0,572681280.0,803221696.0,1033762176.0,1264302720.0,101802104.0
4861.28076171875,110246656.0,338181440.0,566116224.0,794051072.0,1021985856.0,1249920640.0,103188944.0
4861.337890625,110146848.0,337124352.0,564101888.0,791079296.0,1018056832.0,1245034368.0,104081000.0
4861.39208984375,111046632.0,338075808.0,565105024.0,792134208.0,1019163392.0,1246192512.0,104641360.0
